Название НПО | Логин (Username) | Пароль | Email
------------------------------------------------------------
Частный благотворительный фонд "Өркен" | ngo_5817_0 | fxbkPODMRRJI | ngo_5817_0@testngo.kz
Just Support частный фонд | ngo_3158_1 | yLAQolF3QqO9 | ngo_3158_1@testngo.kz
Республиканское общественное объединение "Эра-KZ" | ngo_2515_2 | mQmlnh02lKpM | ngo_2515_2@testngo.kz
Благотворительный фонд "Өмір Сыйла" | ngo_4048_3 | thzgm0T43m6j | ngo_4048_3@testngo.kz
Частный фонд «Частный Благотворительный Фонд «Аяла» | ngo_9279_5 | ZC1o0I0GlAKg | ngo_9279_5@testngo.kz
CleverWoman | ngo_8384_6 | 4FxiQZfevsOJ | ngo_8384_6@testngo.kz
ОФ Развитие баскетбола в г. Алматы | ngo_7454_7 | U7Wfjl87L0j3 | ngo_7454_7@testngo.kz
Take Care Mom | ngo_5804_8 | tvLQd3n4kuwF | ngo_5804_8@testngo.kz
Общественный фонд "Социальный навигатор" | ngo_6330_9 | 8rNyCA4rsVfr | ngo_6330_9@testngo.kz
Общественный фонд "Greenup.kz" | ngo_6686_12 | FLRXhj4kmVDX | ngo_6686_12@testngo.kz
Общественный Фонд "Благотворительный Фонд Assylay" | ngo_1931_13 | 6LEK1NFxuAKg | ngo_1931_13@testngo.kz
ОФ «Казахская Академия конного спорта» | ngo_6581_14 | mb3t5orKjN38 | ngo_6581_14@testngo.kz
TransforNation | ngo_2130_15 | Bk8Qz3T9ymPU | ngo_2130_15@testngo.kz
АРДИ | ngo_4427_16 | g3WXoucQAfz5 | ngo_4427_16@testngo.kz
ОФ "ИНМИР" (Общественный фонд «Институт Национальных и Международных Инициатив Развития») | ngo_3699_17 | eHubONpsnSES | ngo_3699_17@testngo.kz
Общественный фонд «Благотворительный фонд поддержки детей-инвалидов «Балам-ай» | ngo_1510_18 | gfZXBsvb7qO4 | ngo_1510_18@testngo.kz
Общественный фонд Jurek JANGURY | ngo_3297_19 | yX3T52r9vrKh | ngo_3297_19@testngo.kz
Общественный фонд "ITeachMe" центр развития компетенций" | ngo_7318_20 | SB69yiIBdHK9 | ngo_7318_20@testngo.kz
КГУ Специальная школа-интернат №4 УО г. Алматы | ngo_2983_21 | XVBmzoAVfWOT | ngo_2983_21@testngo.kz
Социальный арт проект Анар Абжановой | ngo_2892_22 | VZMmNBEI7rTP | ngo_2892_22@testngo.kz
Социальное кафе Кунде | ngo_7186_23 | aV0JxSbqfro6 | ngo_7186_23@testngo.kz
Частный Фонд "Teplo foundation" | ngo_1784_24 | LUF9G03286gC | ngo_1784_24@testngo.kz
KFCSED | ngo_5235_28 | UHYGkNrZKIkV | ngo_5235_28@testngo.kz
Частный фонд "Центрально-Азиатский Фонд "ДЦП Life" | ngo_6871_31 | 0KOQsTzS0VVY | ngo_6871_31@testngo.kz
Фонд помощи детям с аутизмом и другим особенностями в развитии "Луч Света" | ngo_5785_32 | 37A4gyKhkZk6 | ngo_5785_32@testngo.kz
Общественный фонд "Маленький мир" | ngo_1768_33 | hy9qagKYVrwm | ngo_1768_33@testngo.kz
ЧФ "Благотворительный Фонд Жана Дуние" | ngo_8473_34 | UM676lVQAaNg | ngo_8473_34@testngo.kz
Общественный фонд "HARMONY FUND" | ngo_4129_35 | pKUPMzoBgup3 | ngo_4129_35@testngo.kz
Общественный фонд «Фонд культурного, социального и образовательного развития КОМУНИТИПЛЮС» | ngo_8378_40 | 33MhGJfgChu7 | ngo_8378_40@testngo.kz
Общественный фонд "Best for Kids" | ngo_3253_41 | AUkwwVbAEwp8 | ngo_3253_41@testngo.kz
Ангелы Свободы | ngo_7339_42 | ha1NW6slBS71 | ngo_7339_42@testngo.kz
Общественное объединение "Территория успеха" | ngo_8832_43 | hjsZ5QB8Eryt | ngo_8832_43@testngo.kz
Общественный фонд "Teach for Qazaqstan" | ngo_7187_45 | cpoGRQ74r3Db | ngo_7187_45@testngo.kz
Корпоративный фонд "Болашақ" | ngo_6876_46 | jFMkFtkVduCv | ngo_6876_46@testngo.kz
Prima Linea foundation | ngo_8475_49 | 84kRjCcFMNem | ngo_8475_49@testngo.kz
Общественный фонд "Устойчивое развитие местных сообществ" | ngo_9915_50 | dLd2jZnUoHHz | ngo_9915_50@testngo.kz
Общественный фонд "Үміт Узбеу" | ngo_8229_51 | aUVpE1p1sbCA | ngo_8229_51@testngo.kz
